stadium_name,city,state,team_name,league,division,opened,years_active,status,renovations,capacity_opening,capacity_current,playing_surface_type,surface,architect,facade_material,architectural_style,classification_era,stadium_type,roof_type,name_history,preceded_by,succeeded_by,elevation,coordinates,stadium_cost,stadium_cost_adjusted,financing_method,address,location_classification,construction_start,opening_day,final_game,demolition_year,left_field_distance,center_field_distance,right_field_distance,orientation,orientation_degrees,visit_order,visit_count,first_visit_date,featured_visit_day,featured_visit_date,featured_game_title,other_visits,trip_name,home_team,home_team_abbreviation,away_team,away_team_abbreviation,game_result,attendance,start_time,time_zone,game_duration,day_night,home_starting_pitcher,away_starting_pitcher,winning_pitcher,losing_pitcher,save_pitcher,innings_played,temperature,conditions,wind,humidity,primary_home_team_color,secondary_home_team_color,home_team_accent_color
Safeco Field,Seattle,Washington,Mariners,American League,AL West,1999,1999-present,Active,"Roof, scoreboard, seating, club, video, hospitality, and fan-space improvements","47,116","47,943",Natural grass,Kentucky bluegrass and perennial ryegrass mixture,NBBJ and 360 Architecture,Brick exterior with exposed steel trusses and massive steel retractable canopy roof,Retro-classic warehouse-district ballpark with umbrella-style retractable roof,Retro Classic,Open-air baseball-only ballpark with retractable umbrella-style roof,Retractable canopy roof,Safeco Field (1999-2018); T-Mobile Park (2019-present),Kingdome,n/a,20 ft,"47.591° N, 122.333° W",$517 million,$1 billion,"Public-private financing; Washington State and King County tax-backed public funding supplied the majority, with Mariners/private contribution","1250 1st Avenue S, Seattle, WA 98134",Downtown-edge; Industrial-edge; Downtown; Urban,"Mar 8, 1997","Jul 15, 1999",n/a,n/a,331 ft,401 ft,326 ft,NE,49°,22,1,"Aug 15, 2003",Friday,"Aug 15, 2003",Visit Info,n/a,n/a,Seattle Mariners,SEA,Boston Red Sox,BOS,"Mariners 10, Red Sox 5","46,171",7:05 PM,PDT,3:28,Night,Jamie Moyer,Jeff Suppan,Julio Mateo,Mike Timlin,Shigetoshi Hasegawa,9,74°,Mostly Clear,11 mph SW,57%,Northwest Green,Navy Blue,Silver
Petco Park,San Diego,California,Padres,National League,NL West,2004,2004-present,Active,"Scoreboard, social-space, seating, outfield, premium-area, and technology upgrades; Gallagher Square renovations","42,445","39,860",Natural grass,Bandera Bermuda grass,HOK Sport and Antoine Predock,"Indian sandstone, stucco, white-painted steel, and preserved red-brick Western Metal Supply building",Retro-modern downtown ballpark with adaptive-reuse warehouse landmark,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Jack Murphy Stadium / Qualcomm Stadium,n/a,40 ft,"32.7073° N, 117.1566° W",$450 million,$767 million,Public-private partnership using San Diego redevelopment/public funds and Padres/private contribution,"100 Park Boulevard, San Diego, CA 92101",Downtown,"May 3, 2000","Apr 8, 2004",n/a,n/a,336 ft,396 ft,391 ft,N,0°,23,1,"Jun 20, 2009",Saturday,"Jun 20, 2009",Group Visit,n/a,n/a,San Diego Padres,SD,Oakland Athletics,OAK,"Athletics 6, Padres 3","28,074",7:05 PM,PDT,2:59,Night,Walter Silva,Brett Anderson,Michael Wuertz,Cla Meredith,Andrew Bailey,9,66°,Clear,6 mph SW,69%,Brown,Gold,White
Great American Ball Park,Cincinnati,Ohio,Reds,National League,NL Central,2003,2003-present,Active,"Scoreboard, club, seating, concessions, social-space, and riverfront district upgrades","42,271","45,814",Natural grass,Perennial ryegrass mixture,"HOK Sport, GBBN, and Moody Nolan","Brick facades with cast stone/sandstone base, white-painted steel, and glass",Retro-contemporary riverfront ballpark with Cincinnati industrial and riverboat references,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Union Grounds; Avenue Grounds; Bank Street Grounds; League Park; Palace of the Fans; Crosley Field; Riverfront Stadium,n/a,490 ft,"39.0975° N, 84.5067° W",$290 million,$508 million,"Public-private financing dominated by Hamilton County sales-tax/public funds, with Reds/private contribution","100 Joe Nuxhall Way, Cincinnati, OH 45202",Riverfront; Downtown,"Aug 1, 2000","Mar 31, 2003",n/a,n/a,328 ft,404 ft,325 ft,ESE,122°,24,1,"Sep 21, 2011",Wednesday,"Sep 21, 2011",Group Visit,n/a,Ohio/Pennsylvania,Cincinnati Reds,CIN,Houston Astros,HOU,"Reds 2, Astros 0","20,875",12:35 PM,EDT,2:12,Day,Bronson Arroyo,Wandy Rodriguez,Bronson Arroyo,Wandy Rodriguez,n/a,9,68°,Drizzle,7 mph SSW,95%,Red,Black,White
PNC Park,Pittsburgh,Pennsylvania,Pirates,National League,NL Central,2001,2001-present,Active,"Scoreboard, club, seating, concessions, outfield, social-space, and technology upgrades","38,362","38,747",Natural grass,Kentucky bluegrass,HOK Sport and L.D. Astorino & Associates,"Kasota limestone facade with brick bases, terra-cotta tile, masonry arches, and green steel",Retro-classic riverfront ballpark with civic limestone architecture,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Recreation Park; Exposition Park; Forbes Field; Three Rivers Stadium,n/a,730 ft,"40.4469° N, 80.0058° W",$216 million,$393 million,"Publicly financed through Pennsylvania, Allegheny County, Pittsburgh, and stadium-authority sources, with Pirates lease/private participation","115 Federal Street, Pittsburgh, PA 15212",Riverfront; Urban,"Apr 7, 1999","Apr 9, 2001",n/a,n/a,325 ft,399 ft,320 ft,ESE,116°,25,1,"Sep 23, 2011",Friday,"Sep 23, 2011",Group Visit,n/a,Ohio/Pennsylvania,Pittsburgh Pirates,PIT,Cincinnati Reds,CIN,"Pirates 4, Reds 3","23,632",7:06 PM,EDT,3:22,Night,Jeff Locke,Edinson Volquez,Joel Hanrahan,Bill Bray,n/a,9,64°,Light Drizzle,7 mph WNW,98%,Black,Gold,White
Fenway Park,Boston,Massachusetts,Red Sox,American League,AL East,1912,1912-present,Active,"Major 1934 rebuild; seats, Green Monster, clubs, concourses, scoreboards, structural, accessibility, and preservation upgrades across the 2000s","27,000","37,755",Natural grass,Kentucky bluegrass,James E. McLaughlin,"Red tapestry brick facade with concrete/stucco trim, green-painted steel, and concrete grandstand",Jewel-box neighborhood ballpark,Jewel Box and Early Concrete,Open-air neighborhood jewel-box ballpark,Open Air,n/a,Huntington Avenue Grounds,n/a,20 ft,"42.3464° N, 71.0978° W",$650k,$21.7 million,Privately financed by Red Sox owner John I. Taylor and the Fenway Realty Company,"4 Jersey Street, Boston, MA 02215",Urban,"Sep 25, 1911","Apr 20, 1912",n/a,n/a,310 ft,389 ft,302 ft,NE,45°,26,2,"Jul 22, 2016",Friday; Saturday,"Jul 22, 2016; Jul 23, 2016",Group Visit,n/a,Boston,Boston Red Sox,BOS,Minnesota Twins,MIN,"Twins 2, Red Sox 1; Twins 11, Red Sox 9","37,001; 37,600",7:10 PM; 7:11 PM,EDT,3:00; 4:11,Night,Eduardo Rodriguez; David Price,Kyle Gibson; Ricky Nolasco,Kyle Gibson; Ryan Pressly,Eduardo Rodriguez; Tom Layne,Brandon Kintzler,9,92°; 79°,Cloudy,18 mph SW; 7 mph SW,47%; 54%,Red,Navy Blue,White
Marlins Park,Miami,Florida,Marlins,National League,NL East,2012,2012-present,Active,"Home-run sculpture removed, seating, scoreboard, club, field, and fan-space updates","36,742","37,442",Mixed / changed over time,Celebration bermudagrass 2012; Platinum TE paspalum 2014-2019; Shaw Sports Turf B1K since 2020,Populous,"White stucco, silver metal, exposed steel, and extensive glass facade/retractable panels",Contemporary neomodern retractable-roof ballpark,Contemporary Mixed Use,Retractable-roof baseball-only ballpark,Retractable,Marlins Park (2012-2020); loanDepot park (2021-present),Pro Player Stadium / Sun Life Stadium,n/a,10 ft,"25.7781° N, 80.2197° W",$634 million,$889 million,"Public-private financing dominated by Miami-Dade County and City of Miami public bonds, with Marlins private contribution","501 Marlins Way, Miami, FL 33125",Urban,"Jul 1, 2009","Apr 4, 2012",n/a,n/a,344 ft,400 ft,335 ft,SE,128°,27,1,"May 26, 2018",Saturday,"May 26, 2018",Group Visit,n/a,Florida/Georgia,Miami Marlins,MIA,Washington Nationals,WSH,"Nationals 4, Marlins 1","11,646",4:10 PM,EDT,2:56,Day,Wei-Yin Chen,Tanner Roark,Justin Miller,Brad Ziegler,Sean Doolittle,9,72°,Rain,17 mph ENE,87%,Miami Blue,Caliente Red,Slate Gray
Tropicana Field,St. Petersburg,Florida,Rays,American League,AL East,1998,1998-present for MLB,Active,"Field, catwalk, lighting, scoreboard, seating, turf, tank, and fan-space updates; storm-damage and relocation issues in the 2020s","45,000","25,025",Artificial turf,Shaw Sports Turf TruHop synthetic turf,HOK Sport and Lescher & Mahoney,Concrete structure with slanted PTFE/fiberglass fabric dome and glazed rotunda entries,Late fixed-dome multipurpose stadium with tensile-roof engineering,Multipurpose Shared Use,Fixed-dome multipurpose stadium adapted for baseball,Fixed dome,Florida Suncoast Dome (1990-1993); ThunderDome (1993-1996); Tropicana Field (1996-present),n/a,n/a,45 ft,"27.7683° N, 82.6533° W",$130 million,$320 million,Publicly financed by the City of St. Petersburg as a fixed-dome stadium intended to attract MLB,"1 Tropicana Drive, St. Petersburg, FL 33705",Downtown-edge; Downtown,"Nov 22, 1986","Mar 3, 1990",n/a,n/a,315 ft,404 ft,322 ft,N,359°,28,1,"May 27, 2018",Sunday,"May 27, 2018",Group Visit,n/a,Florida/Georgia,Tampa Bay Rays,TB,Baltimore Orioles,BAL,"Rays 8, Orioles 3","13,311",1:10 PM,EDT,3:10,Day,Sergio Romo,Kevin Gausman,Vidal Nuno,Kevin Gausman,Austin Pruitt,9,76°,Drizzle,26 mph SE,90%,Navy Blue,Columbia Blue,Yellow
SunTrust Park,Cumberland,Georgia,Braves,National League,NL East,2017,2017-present,Active,"Ongoing technology, hospitality, premium seating, and entertainment-district upgrades","41,149","41,108",Natural grass,Seashore Paspalum Platinum TE,Populous,"Red brick masonry with precast stone, steel structure, and large metal seating-bowl canopy",Contemporary retro-classic ballpark integrated with a mixed-use entertainment district,Contemporary Mixed Use,Open-air baseball-only ballpark integrated with mixed-use development,Open Air,SunTrust Park (2017-2019); Truist Park (2020-present),Atlanta-Fulton County Stadium; Turner Field,n/a,1010 ft,"33.89° N, 84.468° W",$622 million,$818 million,"Public-private partnership; Cobb County/Cobb-Marietta authority bonds and Cumberland CID support funded part of the stadium, with Braves funding the balance and The Battery development","755 Battery Avenue SE, Atlanta, GA 30339",Urban; Suburban,"Sep 16, 2014","Apr 14, 2017",n/a,n/a,335 ft,400 ft,325 ft,SE,145°,29,1,"May 28, 2018",Monday,"May 28, 2018",Group Visit,n/a,Florida/Georgia,Atlanta Braves,ATL,New York Mets,NYM,"Braves 4, Mets 3","32,377",1:13 PM,EDT,3:05,Day,Max Fried,Jacob deGrom,Shane Carle,Seth Lugo,n/a,9,70°,Light Drizzle,15 mph ENE,93%,Navy Blue,Scarlet,Gold
Nationals Park,"Washington, D.C.","",Nationals,National League,NL East,2008,2008-present,Active,"Scoreboard, social-space, club, seating, concessions, and neighborhood-access upgrades","41,888","41,373",Natural grass,Kentucky bluegrass,Populous and Devrouax & Purnell Architects,Mostly glass and steel facade with precast concrete civic massing,Contemporary sustainable urban ballpark with modern civic architecture,Contemporary Mixed Use,Open-air baseball-only ballpark,Open Air,n/a,Robert F. Kennedy Memorial Stadium,n/a,25 ft,"38.8728° N, 77.0075° W",$693 million,$1.04 billion,Almost entirely publicly financed by the District of Columbia through public bonds and stadium-related taxes,"1500 S Capitol Street SE, Washington, DC 20003",Riverfront; Urban,"May 4, 2006","Mar 30, 2008",n/a,n/a,337 ft,402 ft,335 ft,NNE,28°,30,1,"May 1, 2019",Wednesday,"May 1, 2019",Group Visit,n/a,Northeast v2,Washington Nationals,WSH,St. Louis Cardinals,STL,"Cardinals 5, Nationals 1","22,157",7:05 PM,EDT,3:02,Night,Max Scherzer,Miles Mikolas,Miles Mikolas,Max Scherzer,n/a,9,72°,Partly Cloudy,8 mph E,73%,Red,Navy Blue,White
Citi Field,Queens,New York,Mets,National League,NL East,2009,2009-present,Active,"Center-field, scoreboard, seating, outfield wall, plaza, club, and fan-space updates","41,922","41,922",Natural grass,Kentucky bluegrass,Populous,"Brick, limestone, granite, and cast-stone facade with Jackie Robinson Rotunda",Retro-classic ballpark with Ebbets Field-inspired monumental entrance,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Polo Grounds; Shea Stadium,n/a,10 ft,"40.7569° N, 73.8458° W",$900 million,$1.35 billion,"Mets-financed project using tax-exempt PILOT bonds and significant city/state land, infrastructure, and subsidy support","41 Seaver Way, Queens, NY 11368",Parkland-adjacent,"Nov 13, 2006","Apr 13, 2009",n/a,n/a,335 ft,408 ft,330 ft,NNE,13°,31,1,"May 2, 2019",Thursday,"May 2, 2019",Group Visit,n/a,Northeast v2,New York Mets,NYM,Cincinnati Reds,CIN,"Mets 1, Reds 0","21,445",12:11 PM,EDT,2:10,Day,Noah Syndergaard,Tyler Mahle,Noah Syndergaard,Tyler Mahle,n/a,9,68°,Partly Cloudy,2 mph NW,74%,Royal Blue,Orange,White
Yankee Stadium (2009),Bronx,New York,Yankees,American League,AL East,2009,2009-present,Active,"Scoreboard, fan-space, seating, club, social-area, and field-level improvements; Monument Park and museum refinements","50,287","46,543",Natural grass,Kentucky bluegrass,Populous,"Indiana limestone, granite, precast concrete, steel, and replicated frieze",Retro-monumental ballpark replicating the original Yankee Stadium's civic facade,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Hilltop Park; Polo Grounds; Yankee Stadium (1923),n/a,55 ft,"40.8292° N, 73.9264° W",$2.3 billion,$3.45 billion,"Yankees-financed project using tax-exempt public bonds plus substantial city/state land, infrastructure, parking, and tax subsidy support","1 E 161 Street, Bronx, NY 10451",Urban,"Aug 19, 2006","Apr 16, 2009",n/a,n/a,318 ft,408 ft,314 ft,ENE,75°,32,1,"May 3, 2019",Friday,"May 3, 2019",Group Visit,n/a,Northeast v2,New York Yankees,NYY,Minnesota Twins,MIN,"Yankees 6, Twins 3","35,911",7:08 PM,EDT,3:08,Night,James Paxton,Kyle Gibson,Jonathan Holder,Kyle Gibson,Aroldis Chapman,9,57°,Light Drizzle,4 mph SW,87%,Navy Blue,White,Gray
Citizens Bank Park,Philadelphia,Pennsylvania,Phillies,National League,NL East,2004,2004-present,Active,"Scoreboard, concessions, seating, outfield, club, social-space, and technology upgrades","43,500","43,500",Natural grass,Riviera Bermuda grass outfield; Kentucky bluegrass infield,EwingCole and HOK Sport,"Multiple shades of red brick with precast concrete/light stone trim, granite, and exposed steel",Retro-classic sports-complex ballpark with Philadelphia rowhouse and industrial cues,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Recreation Park; Baker Bowl; Shibe Park / Connie Mack Stadium; Veterans Stadium,n/a,20 ft,"39.9058° N, 75.1664° W",$458 million,$781 million,Public-private financing shared by Phillies/private funds and Philadelphia/state public infrastructure and capital support,"1 Citizens Bank Way, Philadelphia, PA 19148",Sports-complex,"Jun 28, 2001","Apr 12, 2004",n/a,n/a,329 ft,401 ft,369 ft,N,9°,33,1,"May 4, 2019",Saturday,"May 4, 2019",Group Visit,n/a,Northeast v2,Philadelphia Phillies,PHI,Washington Nationals,WSH,"Nationals 10, Phillies 8","43,319",7:28 PM,EDT,3:45,Night,Jake Arrieta,Patrick Corbin,Tony Sipp,Adam Morgan,Sean Doolittle,9,70°,Overcast,5 mph E,77%,Red,Blue,White
Oriole Park at Camden Yards,Baltimore,Maryland,Orioles,American League,AL East,1992,1992-present,Active,"Scoreboard, seating, club, concessions, left-field, social-space, and concourse renovations; long-term lease improvements in progress","48,041","42,455",Natural grass,Kentucky bluegrass,HOK Sport and RTKL,"Red brick masonry with stone base, exposed green steel, and integrated B&O Warehouse context",Retro-classic downtown ballpark with warehouse-district industrial character,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Memorial Stadium,n/a,30 ft,"39.2839° N, 76.6217° W",$110 million,$252 million,Publicly financed by the Maryland Stadium Authority with Orioles lease payments and related revenues,"333 W Camden Street, Baltimore, MD 21201",Downtown,"Jun 28, 1989","Apr 6, 1992",n/a,n/a,333 ft,400 ft,318 ft,NNE,31°,34,1,"Jul 13, 2019",Saturday,"Jul 13, 2019",Visit Info,n/a,Baltimore,Baltimore Orioles,BAL,Tampa Bay Rays,TB,"Orioles 2, Rays 1","22,596",1:07 PM,EDT,2:58,Day,Aaron Brooks,Brendan McKay,Richard Bleier,Colin Poche,Mychal Givens,9,85°,Clear,6 mph W,51%,Orange,Black,White
Minute Maid Park,Houston,Texas,Astros,American League,AL West,2000,2000-present,Active,"Center-field renovation before 2017, removal of Tal's Hill, scoreboard and premium-space upgrades, roof and fan-experience improvements","40,950","40,950",Natural grass,Seashore Paspalum,HOK Sport,Red brick masonry with steel-and-glass retractable-roof structure and preserved Union Station frontage,Retro-classic downtown retractable-roof ballpark integrated with historic railroad-station architecture,Retro Classic,Retractable-roof baseball-only ballpark,Retractable,Enron Field (2000-2002); Astros Field (2002); Minute Maid Park (2002-2024); Daikin Park (2025-present),Colt Stadium; Astrodome,n/a,45 ft,"29.7569° N, 95.3556° W",$250 million,$467 million,"Public-private financing; Harris County-Houston Sports Authority/public sources funded the majority, with Astros private contribution","501 Crawford Street, Houston, TX 77002",Downtown,"Nov 1, 1997","Mar 30, 2000",n/a,n/a,315 ft,409 ft,326 ft,NNW,343°,35,1,"Sep 11, 2021",Saturday,"Sep 11, 2021",Group Visit,n/a,Texas,Houston Astros,HOU,Los Angeles Angels,LAA,"Angels 4, Astros 2","31,547",6:10 PM,CDT,3:42,Night,Luis Garcia,Jose Suarez,Jose Suarez,Luis Garcia,Raisel Iglesias,9,84°,Clear,10 mph SE,54%,Navy Blue,Orange,White
Globe Life Field,Arlington,Texas,Rangers,American League,AL West,2020,2020-present,Active,"Ongoing technology, premium, and event-hosting updates since opening","40,300","40,300",Artificial turf,Shaw Sports Turf B1K,HKS,"Brick, limestone/precast concrete, steel, glass, and ETFE roof elements",Contemporary retractable-roof ballpark with mixed-use district transparency,Contemporary Mixed Use,Retractable-roof baseball-only ballpark,Retractable,n/a,Arlington Stadium; The Ballpark in Arlington,n/a,550 ft,"32.7475° N, 97.0842° W",$1.1 Billion,$1.37 billion,"Public-private financing; Arlington voter-approved bonds/taxes provided up to $500 million, with Rangers funding the balance","734 Stadium Drive, Arlington, TX 76011",Urban; Suburban,"Sep 28, 2017","Jul 24, 2020",n/a,n/a,329 ft,407 ft,326 ft,NNE,30°,36,1,"Sep 13, 2021",Monday,"Sep 13, 2021",Group Visit,n/a,Texas,Texas Rangers,TEX,Houston Astros,HOU,"Astros 15, Rangers 1","18,903",7:05 PM,CDT,3:53,Night,Spencer Howard,Jake Odorizzi,Cristian Javier,Spencer Howard,n/a,9,84°,Mostly Clear,5 mph ESE,60%,Royal Blue,Red,White
Rogers Centre,Toronto,Ontario,Blue Jays,American League,AL East,1989,1989-present,Active,"Major 2023-2025 phased renovation of outfield districts, seating bowl, clubhouses, premium areas, video boards, and fan amenities","50,516","41,500",Artificial turf,AstroTurf 3D Xtreme with dirt infield,Rod Robbie and Michael Allen; structural design by Adjeleian Allen Rubeli,Concrete-and-steel multipurpose shell with steel/PVC retractable-roof panels and selective glazed edges,"Late multipurpose high-tech retractable-dome stadium, now retrofitted toward baseball-specific use","Multipurpose Shared Use",Multipurpose retractable-roof stadium adapted increasingly toward baseball,Retractable,SkyDome (1989-2005); Rogers Centre (2005-present),Exhibition Stadium,n/a,250 ft,"43.6414° N, 79.3892° W",$470 million,$1.26 billion,"Public-private partnership led by Ontario, Canada, and Toronto public entities with private corporate participation; later privately acquired by Rogers","1 Blue Jays Way, Toronto, ON M5V 1J1, Canada",Downtown,"Oct 3, 1986","Jun 3, 1989",n/a,n/a,328 ft,400 ft,328 ft,NNW,345°,37,1,"Jul 20, 2023",Thursday,"Jul 20, 2023",Group Visit,n/a,Northern Midwest,Toronto Blue Jays,TOR,San Diego Padres,SD,"Blue Jays 4, Padres 0","43,196",1:07 PM,EDT,2:53,Day,Chris Bassitt,Blake Snell,Chris Bassitt,Blake Snell,n/a,9,77°,Clear,8 mph SSE,68%,Royal Blue,Navy Blue,Red
Target Field,Minneapolis,Minnesota,Twins,American League,AL Central,2010,2010-present,Active,"Scoreboard, club, seating, social-space, concourse, lighting, and plaza improvements","39,504","38,544",Natural grass,Four-way Kentucky bluegrass blend,Populous,"Kasota limestone, glass, and steel facade",Contemporary urban ballpark with regional limestone and warehouse-district references,Contemporary Mixed Use,Open-air baseball-only ballpark,Open Air,n/a,Metropolitan Stadium; Hubert H. Humphrey Metrodome,n/a,830 ft,"44.9817° N, 93.2783° W",$555 million,$820 million,"Public-private financing; Hennepin County sales-tax/public funds supplied the majority, with Twins/private contribution","1 Twins Way, Minneapolis, MN 55403",Downtown,"Aug 30, 2007","Apr 12, 2010",n/a,n/a,339 ft,411 ft,328 ft,SE,129°,38,1,"Jul 23, 2023",Sunday,"Jul 23, 2023",Group Visit,n/a,Northern Midwest,Minnesota Twins,MIN,Chicago White Sox,CWS,"Twins 5, White Sox 4","29,001",1:10 PM,CDT,3:28,Day,Bailey Ober,Lucas Giolito,Emilio Pagan,Jesse Scholtens,n/a,9,84°,Overcast,5 mph NW,38%,Navy Blue,Red,Kasota Gold
Chase Field,Phoenix,Arizona,Diamondbacks,National League,NL West,1998,1998-present,Active,"Center-field and seating changes, synthetic turf conversion, scoreboard and premium-area upgrades, pool and hospitality updates","48,500","48,500",Mixed / changed over time,DeAnza zoysia blend 1998; Bull's Eye Bermuda 1999-2018; Shaw Sports Turf B1K since 2019,"Ellerbe Becket, with Bill Johnson Design","Steel frame with concrete, gray metal panels, glass, and operable retractable-roof enclosure",Retro-modern retractable-roof ballpark with industrial warehouse-scale massing,Retro Classic,Retractable-roof baseball-only ballpark,Retractable,Bank One Ballpark (1998-2005); Chase Field (2005-present),n/a,n/a,1085 ft,"33.4453° N, 112.0669° W",$354 million,$699 million,"Public-private financing; Maricopa County sales-tax/public bonds funded the majority, with Diamondbacks/private contribution","401 E Jefferson Street, Phoenix, AZ 85004",Downtown,"Nov 16, 1995","Mar 31, 1998",n/a,n/a,330 ft,407 ft,334 ft,N,0°,39,1,"Apr 29, 2024",Monday,"Apr 29, 2024",Group Visit,n/a,Phoenix,Arizona Diamondbacks,ARI,Los Angeles Dodgers,LAD,"Dodgers 8, Diamondbacks 4","36,985",6:40 PM,MST,2:50,Night,Tommy Henry,James Paxton,James Paxton,Tommy Henry,n/a,9,89°,Clear,5 mph SE,10%,Sedona Red,Sonoran Sand,Black
Busch Stadium,St. Louis,Missouri,Cardinals,National League,NL Central,2006,2006-present,Active,"Ballpark Village phased development; scoreboard, club, seating, and hospitality upgrades","46,861","44,494",Natural grass,Tahoma 31 hybrid bermudagrass since 2023; previously Kentucky bluegrass,"Populous, with HOK Sport heritage",Red brick and limestone/cast-stone masonry with exposed structural steel entrance arch,Retro-classic downtown ballpark with civic arch and Mississippi River bridge references,Retro Classic,Open-air baseball-only ballpark,Open Air,n/a,Sportsman's Park; Union Park; League Park; Robison Field; Sportsman's Park / Busch Stadium; Busch Stadium II,n/a,465 ft,"38.6225° N, 90.1931° W",$365 million,$583 million,Primarily privately financed by Cardinals ownership with limited state/local public assistance and infrastructure support,"700 Clark Avenue, St. Louis, MO 63102",Downtown,"Jan 17, 2004","Apr 10, 2006",n/a,n/a,336 ft,375 ft,335 ft,ENE,62°,40,2,"Aug 17, 2024",Saturday,"Aug 17, 2024",Group Visit,"Aug 18, 2024",St. Louis,St. Louis Cardinals,STL,Los Angeles Dodgers,LAD,"Cardinals 5, Dodgers 2","41,929",6:15 PM,CDT,2:27,Night,Andre Pallante,Bobby Miller,Andre Pallante,Bobby Miller,Ryan Helsley,9,85°,Mostly Clear,10 mph NW,53%,Cardinal Red,Navy Blue,Yellow
Sutter Health Park,West Sacramento,California,A's,American League,AL West,2025,2025-present for MLB,Active (temporary),"Temporary MLB upgrades before the 2025 season, including clubhouse, lighting, broadcast, dugout, training, and seating modifications","14,000","14,014",Natural grass,Bermuda and rye grass blend,HOK Sport,Concrete masonry units with red brick block structures and brick trim,Retro-classic minor-league ballpark with masonry warehouse-district character,Retro Classic,Open-air minor-league ballpark adapted for temporary MLB use,Open Air,Raley Field (2000-2019); Sutter Health Park (2020-present),Oakland Coliseum,n/a,25 ft,"38.5804° N, 121.5138° W",$46.5 million,$86.9 million,"Financed through the River City Regional Stadium Financing Authority joint-powers agency, with public authority bonds supported by stadium/private revenues","400 Ballpark Drive, West Sacramento, CA 95691",Urban-edge; Riverfront; Urban,"Oct 28, 1999","May 15, 2000",n/a,n/a,330 ft,403 ft,325 ft,NE,46°,41,1,"Jul 11, 2025",Friday,"Jul 11, 2025",Group Visit,n/a,Northern California,Oakland Athletics,OAK,Toronto Blue Jays,TOR,"Blue Jays 7, Athletics 6","7,950",7:05 PM,PDT,3:01,Night,Luis Severino,Max Scherzer,Max Scherzer,Luis Severino,n/a,9,96°,Sunny,10 mph SW,33%,Green,Gold,White
Oracle Park,San Francisco,California,Giants,National League,NL West,2000,2000-present,Active,"Scoreboard, seating, concession, center-field, and waterfront-edge upgrades","41,503","42,000",Natural grass,Tifway 419 bermudagrass,HOK Sport,Red brick masonry with exposed steel framing and glass waterfront elements,Retro-classic urban waterfront ballpark,Retro Classic,Open-air baseball-only waterfront ballpark,Open Air,Pacific Bell Park (2000-2003); SBC Park (2004-2005); AT&T Park (2006-2018); Oracle Park (2019-present),Seals Stadium; Candlestick Park,n/a,10 ft,"37.7786° N, 122.3892° W",$357 million,$667 million,"Primarily privately financed by the Giants, with limited public infrastructure and land/site support","24 Willie Mays Plaza, San Francisco, CA 94107",Waterfront; Urban,"Dec 11, 1997","Apr 11, 2000",n/a,n/a,339 ft,391 ft,365 ft,E,85°,42,1,"Jul 12, 2025",Saturday,"Jul 12, 2025",Group Visit,n/a,Northern California,San Francisco Giants,SF,Los Angeles Dodgers,LAD,"Dodgers 2, Giants 1","41,029",1:05 PM,PDT,2:11,Day,Landen Roupp,Shohei Ohtani,Emmet Sheehan,Landen Roupp,Tanner Scott,9,64°,Partly Cloudy,12 mph WSW,70%,Orange,Black,Cream
